row.names(geneExp_df),baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000000003.15,2514.763645367831,-0.12230653585023903,0.1812850267872288,-0.6746643008404007,0.49988907031968943,0.7565805055400856,TSPAN6
ENSG00000000419.13,690.1823266456281,0.27857285183803565,0.17689978479603222,1.5747495236313251,0.11531427167827298,0.38049205078927545,DPM1
ENSG00000000457.14,422.132337103121,-0.611936622007177,0.18670218916293735,-3.2776081777655652,0.0010469060655107815,0.02804941457501043,SCYL3
ENSG00000000460.17,204.49907860737744,-0.32202959138937,0.22708475301152747,-1.4181030963933665,0.1561606673967363,0.44109614482018666,C1orf112
ENSG00000000938.13,226.1922180160626,0.4768997156058642,0.34024812269285476,1.4016233560129474,0.16102774870346714,0.4480380701111046,FGR
ENSG00000000971.16,1290.880682885586,-0.2001703293941698,0.43260248051512296,-0.46271193164638413,0.643570864667171,0.8453110141916823,CFH
ENSG00000001036.14,1828.2504514006703,0.07041884362268261,0.15740988482653623,0.4473597303008214,0.6546153465984411,0.85104992282215,FUCA2
ENSG00000001084.13,1147.534149084553,-0.6011035800142813,0.29173923094710286,-2.060413945916212,0.03935898480991216,0.21995484051007003,GCLC
ENSG00000001167.14,981.2571559296254,-0.27003936840051745,0.13885747990261893,-1.9447232413399458,0.05180829675498315,0.25286846038572025,NFYA
ENSG00000001460.18,532.6506906414381,-0.5680499414897766,0.21678832072461113,-2.62029771526012,0.008785303324058427,0.09880938436404091,STPG1
ENSG00000001461.17,996.2703161777138,0.19953918322025016,0.15917304277032623,1.2535991003713423,0.20998775838693495,0.5079454018935449,NIPAL3
ENSG00000001497.18,1651.6104544847924,0.0693981107961638,0.12659744969873826,0.548179374555406,0.5835687429235392,0.8105272012334835,LAS1L
ENSG00000001561.7,806.4548604453456,-0.01924206525010035,0.2361386880405102,-0.08148628845942991,0.935055228839176,0.9770222046057063,ENPP4
ENSG00000001617.12,2405.404064674556,0.3585480746777211,0.26378479784796444,1.35924464792082,0.17406907753790812,0.46325466006773053,SEMA3F
ENSG00000001626.16,640.8939767471223,0.445854323410765,0.6721831118841762,0.6632929562318282,0.5071429469104959,0.761395164817093,CFTR
ENSG00000001629.10,1272.6847963007197,0.10464288111484352,0.14376484520135693,0.7278753089343976,0.46668991897861667,0.7347622434463268,ANKIB1
ENSG00000001630.17,59.942729364065634,0.6140703293971934,0.42849069377048804,1.43310073783331,0.15182905062510257,0.43576572885500536,CYP51A1
ENSG00000001631.16,177.8469720064433,-0.036694419740252136,0.1538882596319349,-0.23844846792092325,0.8115332793167882,0.9275376410238896,KRIT1
ENSG00000002016.18,264.4921998135,-0.09144667664663407,0.17705324012669046,-0.5164925340038928,0.605510452085512,0.8226819587908841,RAD52
ENSG00000002330.14,765.6582953984795,0.08832412267444575,0.2209212788395892,0.3997990738528082,0.6893045129263692,0.8687078856174376,BAD
ENSG00000002549.12,2321.335210442784,-0.08370487292359778,0.23521535739227964,-0.3558648289448178,0.7219417962540389,0.885499022996306,LAP3
ENSG00000002586.20,4812.8312712694415,0.31400062694895875,0.2211183471381244,1.4200568655337056,0.1555911265576047,0.44082787546529273,CD99
ENSG00000002587.10,929.0519016771615,-1.3362241322579482,0.37330975477949646,-3.5793978462931357,0.00034438683600506294,0.013943027429018429,HS3ST1
ENSG00000002726.21,1688.45468295702,3.0712169144208836,0.6790850183580918,4.522580871901057,6.109013358149177e-06,0.000798115905378004,AOC1
ENSG00000002745.13,19.056338869924723,-0.4029382966528244,0.6858674352300078,-0.5874871381197706,0.556876586141092,0.794072069761794,WNT16
ENSG00000002746.15,39.45522483916316,0.7744313645768457,0.44322040744567603,1.7472827323993763,0.08058830685050723,0.3167021516356148,HECW1
ENSG00000002822.15,11.535309667154035,2.027525737724909,0.3295003131252758,6.153334782883939,7.587041077947775e-10,6.586775371961563e-07,MAD1L1
ENSG00000002834.18,4522.387496529075,0.29787728211619474,0.19220393196511845,1.5497980664113264,0.12118999128607098,0.38985185416574497,LASP1
ENSG00000002919.15,697.0826553473507,0.19001078738047325,0.12399899534537814,1.5323574747620372,0.12543424528466643,0.3965316477560537,SNX11
ENSG00000002933.9,941.3330320012822,1.708319639071707,0.3983988234028037,4.287963564953854,1.8031866124298015e-05,0.0018107896007583302,TMEM176A
ENSG00000003056.8,1258.9251428744196,0.17675847392100374,0.23308150602962224,0.7583547786864718,0.4482386220115947,0.7206412340015516,M6PR
ENSG00000003096.14,461.1348739995345,-0.8999198585548167,0.4188097317685081,-2.148755843744902,0.031653759361499716,0.19639216946371152,KLHL13
ENSG00000003137.8,111.06501885148147,1.097249373226817,0.5122662647020816,2.1419512640851797,0.03219740400566832,0.19810899268508264,CYP26B1
ENSG00000003147.19,1308.3430143744777,-0.5499907883925694,0.2568803925268444,-2.141038414736518,0.032270940334820815,0.19824419475714053,ICA1
ENSG00000003249.15,1686.6228990749898,0.3374679365688183,0.27928733106885545,1.208318097628349,0.2269249298345294,0.5270306037829384,DBNDD1
ENSG00000003393.15,719.3043610420217,-0.21880917776435954,0.13393757410938564,-1.6336653789597533,0.10232913168095761,0.35831172533562483,ALS2
ENSG00000003400.15,321.52918299788087,0.06170998836408196,0.3213316699738244,0.19204452635841604,0.8477073275138798,0.9421965518039582,CASP10
ENSG00000003402.20,2123.38626187362,-0.13308190958618485,0.13218027272038707,-1.0068212664964393,0.3140206730027212,0.6137440341561393,CFLAR
ENSG00000003436.16,512.9193533486751,1.36467371902313,0.4629554662937439,2.947742965318501,0.0032010309676928023,0.05516869009533653,TFPI
